org	machine	machine_name	std_name	std_name_long	ex	em	width	laser
FDACBER	Fortessa	Alexa Fluor 488-A	fitc	FITC	488	530	30	blue
FDACBER	Fortessa	PE-A	pe	PE	561	586	15	yellow
FDACBER	Fortessa	PE-Cy7-A	pc7	PE-Cy7	561	780	60	yellow
FDACBER	Fortessa	PerCP-A	pc55	PerCP-Cy5.5	488	710	50	blue
FDACBER	Fortessa	APC-A	apc	APC	640	670	30	red
FDACBER	Fortessa	APC-Cy7-A	ac7	APC-Cy7	640	780	60	red
ISAC	BRZE5	TIME	time	Time	NA	NA	NA	NA
ISAC	BRZE5	FS00-A	fsc_a	FSC-A	NA	NA	NA	NA
ISAC	BRZE5	FS00-H	fsc_h	FSC-H	NA	NA	NA	NA
ISAC	BRZE5	SS02-A	ssc_a	SSC-A	NA	NA	NA	NA
ISAC	BRZE5	SS02-H	ssc_h	SSC-H	NA	NA	NA	NA
ISAC	BRZE5	FL17-A	v450	V450/PB 	405	460	22	violet
ISAC	BRZE5	FL20-A	v500	V500-C/Aqua	405	525	50	violet
ISAC	BRZE5	FL03-A	fitc	FITC	488	525	35	blue
ISAC	BRZE5	FL25-A	pe	PE	561	583	30	yellow
ISAC	BRZE5	FL23-A	pc7	PE-Cy7	561	789	78	yellow
ISAC	BRZE5	FL06-A	pc55	PerCP-Cy5.5	488	692	80	blue
ISAC	BRZE5	FL29-A	apc	APC	640	670	30	red
ISAC	BRZE5	FL27-A	ac7	APC-Cy7	640	775	50	red
ISAC	CantoII-1	Time	time	Time	NA	NA	NA	NA
ISAC	CantoII-1	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
ISAC	CantoII-1	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
ISAC	CantoII-1	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
ISAC	CantoII-1	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
ISAC	CantoII-1	450/50 (405)-A	v450	V450/PB 	405	450	50	violet
ISAC	CantoII-1	510/50 (405)-A	v500	V500-C/Aqua	405	510	50	violet
ISAC	CantoII-1	530/30 (488)-A	fitc	FITC	488	530	30	blue
ISAC	CantoII-1	585/42 (488)-A	pe	PE	488	585	42	blue
ISAC	CantoII-1	780/60 (488)-A	pc7	PE-Cy7	488	780	60	blue
ISAC	CantoII-1	670LP (488)-A	pc55	PerCP-Cy5.5	488	715	90	blue
ISAC	CantoII-1	660/20 (633)-A	apc	APC	633	660	20	red
ISAC	CantoII-1	780/60 (633)-A	ac7	APC-Cy7	633	780	60	red
ISAC	Lyric-1	Time	time	Time	NA	NA	NA	NA
ISAC	Lyric-1	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
ISAC	Lyric-1	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
ISAC	Lyric-1	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
ISAC	Lyric-1	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
ISAC	Lyric-1	V450-A	v450	V450/PB 	405	448	45	violet
ISAC	Lyric-1	V500-C-A	v500	V500-C/Aqua	405	528	45	violet
ISAC	Lyric-1	FITC-A	fitc	FITC	488	527	32	blue
ISAC	Lyric-1	PE-A	pe	PE	488	586	42	blue
ISAC	Lyric-1	PE-Cy7-A	pc7	PE-Cy7	488	783	56	blue
ISAC	Lyric-1	PerCP-Cy5.5-A	pc55	PerCP-Cy5.5	488	700	54	blue
ISAC	Lyric-1	APC-A	apc	APC	640	660	10	red
ISAC	Lyric-1	APC-Cy7-A	ac7	APC-Cy7	640	783	56	red
KITE	CytoflexS	Time	time	Time	NA	NA	NA	NA
KITE	CytoflexS	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
KITE	CytoflexS	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
KITE	CytoflexS	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
KITE	CytoflexS	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
KITE	CytoflexS	FL6-A	v450	V450/PB 	405	450	50	violet
KITE	CytoflexS	FL7-A	v500	V500-C/Aqua	405	530	30	violet
KITE	CytoflexS	FL1-A	fitc	FITC	488	530	40	blue
KITE	CytoflexS	FL10-A	pe	PE	561	585	42	yellow
KITE	CytoflexS	FL13-A	pc7	PE-Cy7	561	780	60	yellow
KITE	CytoflexS	FL2-A	pc55	PerCP-Cy5.5	488	695	40	blue
KITE	CytoflexS	FL3-A	apc	APC	638	670	30	red
KITE	CytoflexS	FL5-A	ac7	APC-Cy7	638	780	60	red
LMNXSEA	CellStream-1	Time	time	Time	NA	NA	NA	NA
LMNXSEA	CellStream-1	NA	fsc_a	FSC-A	NA	NA	NA	NA
LMNXSEA	CellStream-1	NA	fsc_h	FSC-H	NA	NA	NA	NA
